p:batch_size,p:learning_rate,objective,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:mse,m:rmse,m:pcc,m:scc,m:r2,m:val_loss
373,0.001537369913173,-0.008606637828052,1,0.0206489562988281,42.43916702270508,1713997985.1810536,1713998027.5948188,0.008606637828052,0.0927719697356224,0.8748487017350091,0.8718835769424096,0.7639896005353877,0.008606637828052
63,0.0015198578704902,-0.0087930280715227,2,0.0206618309020996,51.416236877441406,1713997985.181466,1713998036.5713544,0.0087930280715227,0.093771144747734,0.8722367690818404,0.8704144500215247,0.7588784135026105,0.0087930280715227
35,0.0005454983499255,-0.0087980991229414,6,51.43593239784241,124.1868987083435,1713998036.59613,1713998109.3424287,0.0087980991229414,0.0937981829047203,0.8750571694987654,0.8730378554012878,0.7587393594973282,0.0087980991229414
425,0.0001856171054402,-0.0091455280780792,4,25.396801233291622,66.14085125923157,1713998010.5569527,1713998051.297083,0.0091455280780792,0.095632255077362,0.8692972793271212,0.86690965807621,0.7492121944731926,0.0091455280780792
157,0.0005470621895885,-0.0093170711770653,3,0.0206720829010009,25.371432065963745,1713997985.181279,1713998010.5269897,0.0093170711770653,0.0965249761939048,0.8633044848903775,0.8596427107020148,0.7445081602475139,0.0093170711770653
426,2.04629217636972e-06,-0.0152865890413522,0,0.0206303596496582,53.80986523628235,1713997985.180593,1713998038.965631,0.0152865890413522,0.1236389428377151,0.7636349609594288,0.7710305371902418,0.5808125809897191,0.0152865890413522
41,1.5858508885449814e-05,-0.0162606369704008,10,103.48667001724245,129.4255940914154,1713998088.6476376,1713998114.580846,0.0162606369704008,0.1275172084569931,0.7593936614992215,0.776571187682067,0.5541023601248893,0.0162606369704008
20,4.218237394619802e-06,-0.0166755858808755,7,53.83195495605469,103.43538618087769,1713998038.991385,1713998088.5911677,0.0166755858808755,0.1291339844465255,0.751192918384919,0.7627426466448252,0.5427236122236497,0.0166755858808755
31,0.0086085602486696,-0.1154632419347763,9,79.41738390922546,104.32743549346924,1713998064.5766485,1713998089.4836764,0.1154632419347763,0.3397988379001617,,0.0,-2.1662220585475604,0.1154632419347763
233,0.008045295305686,-0.1154632419347763,8,66.16029119491577,79.39762854576111,1713998051.319559,1713998064.5531008,0.1154632419347763,0.3397988379001617,,0.0,-2.1662220585475604,0.1154632419347763
