epoch,val_loss,train_loss
0,0.016495244577527046,0.01627965271472931
1,0.018592361360788345,
2,0.016569100320339203,
3,0.019391832873225212,
4,0.019597245380282402,
5,0.0168031994253397,0.01581338606774807
6,0.016818279400467873,
7,0.01723223552107811,
8,0.015034670941531658,
9,0.01510852575302124,
10,0.015414907597005367,0.014955433085560799
11,0.01606845110654831,
12,0.015214058570563793,
13,0.01674562878906727,
14,0.014831997454166412,
15,0.016263555735349655,0.01538760494440794
16,0.01569259725511074,
17,0.01412704773247242,
18,0.01515999250113964,
19,0.01457212120294571,
20,0.014452205039560795,0.013362549245357513
21,0.016197290271520615,
22,0.013251318596303463,
23,0.012527086772024632,
24,0.01398993469774723,
25,0.012524096295237541,0.011105799116194248
26,0.012411881238222122,
27,0.011379149742424488,
28,0.011360003612935543,
29,0.012629118748009205,
30,0.011127198114991188,0.009514267556369305
31,0.011535768397152424,
32,0.010696154087781906,
33,0.010554034262895584,
34,0.010692428797483444,
35,0.01065399032086134,0.008712181821465492
36,0.010428965091705322,
37,0.010313224047422409,
38,0.011294337920844555,
39,0.00988505408167839,
40,0.009944627992808819,0.008271942846477032
41,0.010520733892917633,
42,0.010153353214263916,
43,0.009662662632763386,
44,0.009471612982451916,
45,0.009894211776554585,0.007852569222450256
46,0.00974800530821085,
47,0.009198896586894989,
48,0.010268610902130604,
49,0.009691902436316013,
50,0.009451346471905708,0.007026382256299257
51,0.009278502315282822,
52,0.009193086065351963,
53,0.009310789406299591,
54,0.009302301332354546,
55,0.009805889800190926,0.00688071409240365
56,0.00900403130799532,
57,0.010184322483837605,
58,0.009452569298446178,
59,0.009584506042301655,
60,0.009495323523879051,0.0062956856563687325
61,0.009269620291888714,
62,0.009915121830999851,
63,0.009776588529348373,
64,0.010107092559337616,
65,0.009299990721046925,0.006402439903467894
66,0.009498858824372292,
