epoch,val_loss,train_loss
0,0.038985442370176315,0.03968101739883423
1,0.07822751253843307,
2,0.06936300545930862,
3,0.066167913377285,
4,0.05520400404930115,
5,0.04072990268468857,0.04326239973306656
6,0.02312667854130268,
7,0.014893850311636925,
8,0.014549313113093376,
9,0.014396201819181442,
10,0.014573748223483562,0.014291631989181042
11,0.014414900913834572,
12,0.014929654076695442,
13,0.015208659693598747,
14,0.014882146380841732,
15,0.014749700203537941,0.01417547557502985
16,0.01456519030034542,
17,0.014330640435218811,
18,0.014893492683768272,
19,0.014695324935019016,
20,0.01448152493685484,0.014084250666201115
21,0.015919923782348633,
22,0.014651034027338028,
23,0.014376458711922169,
24,0.014265512116253376,
25,0.01468056719750166,0.014124820940196514
26,0.014134358614683151,
27,0.014203280210494995,
28,0.014303089119493961,
29,0.014472244307398796,
30,0.01410580426454544,0.013621355406939983
31,0.013926570303738117,
32,0.014903219416737556,
33,0.013252179138362408,
34,0.012968838214874268,
35,0.013236033730208874,0.01258258055895567
36,0.012396765872836113,
37,0.01209162175655365,
38,0.012274759821593761,
39,0.010904698632657528,
40,0.010814319364726543,0.009484686888754368
41,0.010564498603343964,
42,0.010641210712492466,
43,0.010504341684281826,
44,0.009743747301399708,
45,0.010673615150153637,0.00952720083296299
46,0.010067795403301716,
47,0.011327531188726425,
48,0.009761806577444077,
49,0.009550374001264572,
50,0.009309032931923866,0.007966852746903896
51,0.010052835568785667,
52,0.009866485372185707,
53,0.009216226637363434,
54,0.009128903970122337,
55,0.008963998407125473,0.006837194319814444
56,0.008968889713287354,
57,0.009168337099254131,
58,0.008782637305557728,
59,0.00894628930836916,
60,0.009222455322742462,0.00679323635995388
61,0.008705563843250275,
62,0.008728555403649807,
63,0.009748266078531742,
64,0.008606638759374619,
65,0.009400066919624805,0.0055689336732029915
66,0.00969275925308466,
67,0.009092101827263832,
68,0.00919677410274744,
69,0.009424549527466297,
70,0.009706661105155945,0.0045035225339233875
71,0.009479034692049026,
72,0.009073705412447453,
73,0.009849469177424908,
74,0.00962173193693161,
